"igpm_2014_2018";"valor_receita_publica";"rank_receita_uf";"indicador_competitividade";"n_votos";"valor_receita_total";"n_vagas_uf";"situacao_eleitoral";"sexo";"cargo";"ano_eleicao";"uf";"rank_votacao_uf"
"1,3121289";;"171";"Não competitivo";"110";"720";"18";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2018";"MA";"182"
"1,3121289";;"34";"Não competitivo";"6722";"88273,2";"8";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"RN";"40"
"1,3121289";"4059,55";"147";"Não competitivo";"981";"4059,55";"18";"NÃO ELEITO";"FEMININO";"DEPUTADO FEDERAL";"2018";"MA";"126"
"1,3121289";"832400";"16";"Competitivo";"24657";"1015496,8";"22";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"CE";"42"
"1,3121289";"668195,62";"10";"Competitivo";"42431";"681195,62";"8";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"RN";"14"
"1,3121289";"302700";"42";"Não competitivo";"5238";"304600";"22";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"CE";"75"
"1,3121289";"15000";"92";"Não competitivo";"3077";"20730,92";"25";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"PE";"86"
"1,3121289";"5730";"145";"Não competitivo";"2311";"5730";"25";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"PE";"99"
"1,3121289";"1400040,17";"9";"Competitivo";"129978";"1553743,12";"25";"ELEITO POR QP";"MASCULINO";"DEPUTADO FEDERAL";"2018";"PE";"4"
"1,3121289";"11000";"91";"Não competitivo";"1578";"21000";"25";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"PE";"119"
"1,3121289";"2000";"179";"Não competitivo";"256";"2026,4";"25";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"PE";"246"
"1,3121289";"6875";"145";"Não competitivo";"1440";"7108,7";"22";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"CE";"122"
"1,3121289";"1740";"187";"Não competitivo";"348";"1740";"25";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"PE";"225"
"1,3121289";"500";"35";"Competitivo";"56162";"186678,04";"18";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"MA";"22"
"1,3121289";"100000";"57";"Não competitivo";"7818";"100000";"22";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"CE";"60"
"1,3121289";"20500";"63";"Não competitivo";"471";"23130";"10";"NÃO ELEITO";"FEMININO";"DEPUTADO FEDERAL";"2018";"PI";"97"
"1,3121289";"12440";"121";"Não competitivo";"520";"12440";"25";"NÃO ELEITO";"FEMININO";"DEPUTADO FEDERAL";"2018";"PE";"195"
"1,3121289";"2605,95";"189";"Não competitivo";"119";"2605,95";"22";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"CE";"217"
"1,3121289";"398500";"17";"Não competitivo";"11035";"475686,75";"10";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"PI";"24"
